amount,date,price,tid,type,Datestamp
0.00165166,1506882610,4265.73,22621366,0,2017-10-01 18:30:10
0.16419766,1506882607,4267.19,22621364,1,2017-10-01 18:30:07
0.02716166,1506882578,4275.78,22621358,0,2017-10-01 18:29:38
0.0027441,1506882565,4273.99,22621357,0,2017-10-01 18:29:25
0.01479269,1506882557,4273.99,22621354,0,2017-10-01 18:29:17
0.02147174,1506882543,4273.99,22621352,0,2017-10-01 18:29:03
0.00187459,1506882539,4273.99,22621350,0,2017-10-01 18:28:59
0.01138688,1506882539,4273.99,22621349,0,2017-10-01 18:28:59
0.15886906,1506882537,4273.96,22621347,0,2017-10-01 18:28:57
0.08328737,1506882485,4274.0,22621340,0,2017-10-01 18:28:05
0.12313991,1506882483,4274.99,22621339,1,2017-10-01 18:28:03
0.08068266,1506882473,4277.8,22621337,0,2017-10-01 18:27:53
0.00673406,1506882465,4277.89,22621334,0,2017-10-01 18:27:45
0.02689431,1506882450,4274.99,22621330,0,2017-10-01 18:27:30
0.07799421,1506882402,4274.99,22621307,0,2017-10-01 18:26:42
0.0350632,1506882368,4274.99,22621298,0,2017-10-01 18:26:08
0.0187,1506882362,4275.84,22621297,1,2017-10-01 18:26:02
0.0826273,1506882351,4277.64,22621294,0,2017-10-01 18:25:51
0.07924972,1506882347,4277.7,22621292,0,2017-10-01 18:25:47
0.00270263,1506882334,4277.8,22621291,0,2017-10-01 18:25:34
0.01353202,1506882322,4277.89,22621287,0,2017-10-01 18:25:22
0.0325719,1506882299,4276.31,22621281,0,2017-10-01 18:24:59
0.00295994,1506882286,4276.29,22621270,0,2017-10-01 18:24:46
0.0699859,1506882284,4276.29,22621269,0,2017-10-01 18:24:44
0.01470694,1506882270,4276.29,22621265,0,2017-10-01 18:24:30
0.00670756,1506882262,4276.29,22621262,0,2017-10-01 18:24:22
0.60399862,1506882246,4264.47,22621257,1,2017-10-01 18:24:06
0.093,1506882246,4268.24,22621256,1,2017-10-01 18:24:06
0.00300138,1506882246,4268.24,22621255,1,2017-10-01 18:24:06
0.02146009,1506882244,4276.31,22621253,0,2017-10-01 18:24:04
0.02370183,1506882198,4276.31,22621211,0,2017-10-01 18:23:18
0.08779631,1506882197,4276.31,22621210,0,2017-10-01 18:23:17
0.019089,1506882190,4276.31,22621204,0,2017-10-01 18:23:10
0.03353919,1506882143,4277.23,22621201,0,2017-10-01 18:22:23
0.02145452,1506882123,4277.42,22621197,0,2017-10-01 18:22:03
0.05398591,1506882106,4266.84,22621193,0,2017-10-01 18:21:46
0.034,1506882105,4270.0,22621192,1,2017-10-01 18:21:45
0.0134,1506882105,4271.63,22621191,1,2017-10-01 18:21:45
0.10200375,1506882105,4273.25,22621190,1,2017-10-01 18:21:45
0.04661034,1506882103,4273.26,22621189,1,2017-10-01 18:21:43
0.12316665,1506882078,4277.49,22621182,1,2017-10-01 18:21:18
0.0161352,1506882033,4276.03,22621175,0,2017-10-01 18:20:33
0.02,1506882033,4275.0,22621174,0,2017-10-01 18:20:33
0.04679563,1506881990,4273.25,22621166,0,2017-10-01 18:19:50
7.88001043,1506881958,4275.0,22621160,1,2017-10-01 18:19:18
0.95906389,1506881958,4275.0,22621159,1,2017-10-01 18:19:18
0.04093611,1506881958,4275.01,22621158,1,2017-10-01 18:19:18
0.03255903,1506881946,4276.02,22621156,0,2017-10-01 18:19:06
1.0,1506881907,4275.0,22621153,1,2017-10-01 18:18:27
0.00270974,1506881904,4275.02,22621152,0,2017-10-01 18:18:24
0.94111901,1506881899,4275.0,22621151,1,2017-10-01 18:18:19
0.05888099,1506881899,4275.02,22621150,1,2017-10-01 18:18:19
0.00156648,1506881872,4275.0,22621148,1,2017-10-01 18:17:52
0.03048437,1506881872,4277.99,22621147,0,2017-10-01 18:17:52
0.0284324,1506881859,4277.99,22621143,0,2017-10-01 18:17:39
0.08510882,1506881836,4275.0,22621140,1,2017-10-01 18:17:16
0.04230435,1506881836,4275.05,22621139,1,2017-10-01 18:17:16
0.02290464,1506881836,4277.1,22621138,1,2017-10-01 18:17:16
0.1500201,1506881826,4278.0,22621137,0,2017-10-01 18:17:06
0.21687003,1506881825,4278.0,22621134,0,2017-10-01 18:17:05
0.06684061,1506881824,4277.1,22621131,0,2017-10-01 18:17:04
0.21691567,1506881763,4277.1,22621121,0,2017-10-01 18:16:03
0.01961999,1506881728,4277.1,22621116,0,2017-10-01 18:15:28
0.03048437,1506881702,4277.1,22621112,0,2017-10-01 18:15:02
0.08067299,1506881691,4277.1,22621110,0,2017-10-01 18:14:51
0.06269636,1506881651,4275.04,22621104,1,2017-10-01 18:14:11
0.00945764,1506881650,4277.1,22621103,1,2017-10-01 18:14:10
0.013447,1506881649,4277.1,22621102,1,2017-10-01 18:14:09
0.0403365,1506881647,4278.0,22621101,0,2017-10-01 18:14:07
0.17489481,1506881625,4278.0,22621099,0,2017-10-01 18:13:45
0.02435325,1506881582,4278.0,22621072,0,2017-10-01 18:13:02
0.69972183,1506881558,4278.0,22621068,0,2017-10-01 18:12:38
1.35825485,1506881506,4277.99,22621021,0,2017-10-01 18:11:46
0.97591745,1506881506,4277.1,22621020,0,2017-10-01 18:11:46
0.011,1506881497,4277.1,22621008,0,2017-10-01 18:11:37
0.06138893,1506881481,4277.1,22621003,0,2017-10-01 18:11:21
0.01097166,1506881453,4277.1,22621000,0,2017-10-01 18:10:53
0.0061014,1506881452,4277.1,22620999,0,2017-10-01 18:10:52
0.1298603,1506881417,4277.1,22620987,0,2017-10-01 18:10:17
0.04,1506881402,4275.18,22620984,1,2017-10-01 18:10:02
0.056,1506881343,4277.1,22620980,0,2017-10-01 18:09:03
0.21691567,1506881284,4277.1,22620970,0,2017-10-01 18:08:04
0.00455916,1506881263,4277.1,22620965,0,2017-10-01 18:07:43
0.00538038,1506881252,4277.1,22620964,0,2017-10-01 18:07:32
0.05363915,1506881224,4277.1,22620955,0,2017-10-01 18:07:04
0.007,1506881224,4277.1,22620954,0,2017-10-01 18:07:04
0.00411722,1506881212,4277.1,22620952,0,2017-10-01 18:06:52
0.0045755,1506881203,4277.1,22620951,0,2017-10-01 18:06:43
0.01344441,1506881173,4277.1,22620945,0,2017-10-01 18:06:13
0.00806608,1506881167,4277.1,22620944,0,2017-10-01 18:06:07
0.04086167,1506881131,4277.1,22620936,0,2017-10-01 18:05:31
0.14802692,1506881131,4277.06,22620935,0,2017-10-01 18:05:31
0.29890175,1506881128,4275.0,22620933,1,2017-10-01 18:05:28
0.01072699,1506881124,4277.06,22620931,0,2017-10-01 18:05:24
0.3,1506881122,4275.0,22620929,1,2017-10-01 18:05:22
0.13422962,1506881071,4275.0,22620911,1,2017-10-01 18:04:31
0.16577038,1506881071,4275.02,22620910,1,2017-10-01 18:04:31
0.26755,1506881044,4277.1,22620905,0,2017-10-01 18:04:04
0.02425738,1506880982,4277.99,22620890,0,2017-10-01 18:03:02
0.00346751,1506880978,4277.99,22620887,0,2017-10-01 18:02:58
0.04300289,1506880942,4277.99,22620863,0,2017-10-01 18:02:22
0.01733755,1506880929,4277.99,22620861,0,2017-10-01 18:02:09
0.01345559,1506880888,4277.99,22620852,0,2017-10-01 18:01:28
0.06101207,1506880867,4277.99,22620849,0,2017-10-01 18:01:07
0.94437655,1506880866,4277.99,22620848,0,2017-10-01 18:01:06
0.02948942,1506880866,4275.0,22620847,0,2017-10-01 18:01:06
0.03051058,1506880854,4275.0,22620846,0,2017-10-01 18:00:54
0.03479183,1506880783,4277.99,22620813,0,2017-10-01 17:59:43
0.24377849,1506880782,4271.17,22620812,1,2017-10-01 17:59:42
0.10033567,1506880782,4271.16,22620811,1,2017-10-01 17:59:42
1.0,1506880775,4277.99,22620810,0,2017-10-01 17:59:35
1.0,1506880773,4277.99,22620809,0,2017-10-01 17:59:33
1.0,1506880770,4278.0,22620807,0,2017-10-01 17:59:30
0.06792083,1506880769,4278.0,22620804,0,2017-10-01 17:59:29
0.01259319,1506880767,4278.0,22620803,0,2017-10-01 17:59:27
0.87698081,1506880763,4277.98,22620802,0,2017-10-01 17:59:23
3.50614887,1506880762,4277.98,22620801,0,2017-10-01 17:59:22
0.21452333,1506880762,4276.02,22620800,0,2017-10-01 17:59:22
0.24351584,1506880762,4275.01,22620799,0,2017-10-01 17:59:22
0.15883115,1506880762,4274.98,22620798,0,2017-10-01 17:59:22
0.01,1506880756,4274.0,22620795,0,2017-10-01 17:59:16
0.01,1506880752,4273.0,22620794,1,2017-10-01 17:59:12
0.01,1506880751,4273.0,22620793,0,2017-10-01 17:59:11
0.05648416,1506880713,4275.02,22620787,1,2017-10-01 17:58:33
0.02442202,1506880633,4276.02,22620781,0,2017-10-01 17:57:13
0.06105465,1506880603,4276.02,22620779,0,2017-10-01 17:56:43
0.01353607,1506880582,4277.0,22620775,0,2017-10-01 17:56:22
0.05613403,1506880579,4273.0,22620774,1,2017-10-01 17:56:19
1.0,1506880578,4277.0,22620773,0,2017-10-01 17:56:18
1.0,1506880576,4277.0,22620772,0,2017-10-01 17:56:16
0.99850726,1506880573,4277.0,22620771,0,2017-10-01 17:56:13
0.00149274,1506880573,4277.0,22620770,0,2017-10-01 17:56:13
0.0630373,1506880568,4276.02,22620767,0,2017-10-01 17:56:08
0.0536527,1506880564,4276.02,22620766,0,2017-10-01 17:56:04
0.0809165,1506880562,4275.01,22620764,0,2017-10-01 17:56:02
0.00999915,1506880541,4269.4,22620761,1,2017-10-01 17:55:41
0.02999915,1506880539,4269.43,22620760,1,2017-10-01 17:55:39
1.0,1506880509,4275.0,22620752,0,2017-10-01 17:55:09
0.03231384,1506880504,4275.0,22620751,0,2017-10-01 17:55:04
1.0,1506880502,4274.99,22620749,0,2017-10-01 17:55:02
1.0,1506880499,4274.99,22620747,0,2017-10-01 17:54:59
0.07086812,1506880499,4274.99,22620746,0,2017-10-01 17:54:59
1.0,1506880491,4274.99,22620742,0,2017-10-01 17:54:51
0.00269707,1506880472,4274.99,22620740,0,2017-10-01 17:54:32
4.87285457,1506880460,4275.0,22620738,0,2017-10-01 17:54:20
4.9527021,1506880460,4275.0,22620737,0,2017-10-01 17:54:20
0.8715,1506880460,4274.34,22620736,0,2017-10-01 17:54:20
0.2,1506880460,4274.13,22620735,0,2017-10-01 17:54:20
0.129,1506880460,4274.05,22620734,0,2017-10-01 17:54:20
0.57394333,1506880460,4273.87,22620733,0,2017-10-01 17:54:20
0.048,1506880374,4273.83,22620715,0,2017-10-01 17:52:54
0.02369276,1506880372,4273.8,22620713,0,2017-10-01 17:52:52
0.06794555,1506880333,4268.04,22620710,1,2017-10-01 17:52:13
0.00305155,1506880317,4273.92,22620704,0,2017-10-01 17:51:57
0.00538488,1506880293,4273.97,22620702,0,2017-10-01 17:51:33
0.02922881,1506880284,4274.04,22620701,0,2017-10-01 17:51:24
0.023,1506880277,4273.89,22620698,0,2017-10-01 17:51:17
0.21705702,1506880264,4273.9,22620696,0,2017-10-01 17:51:04
1.96582483,1506880236,4268.01,22620689,1,2017-10-01 17:50:36
2.0,1506880230,4268.2,22620686,1,2017-10-01 17:50:30
0.8715,1506880223,4268.23,22620684,1,2017-10-01 17:50:23
0.006425,1506880203,4274.03,22620670,0,2017-10-01 17:50:03
0.02,1506880177,4274.5,22620666,0,2017-10-01 17:49:37
0.0269216,1506880161,4274.94,22620641,0,2017-10-01 17:49:21
0.005462,1506880150,4274.65,22620629,0,2017-10-01 17:49:10
0.013385,1506880145,4274.9,22620627,1,2017-10-01 17:49:05
0.0058015,1506880132,4274.7,22620624,0,2017-10-01 17:48:52
0.0344901,1506880096,4266.11,22620587,1,2017-10-01 17:48:16
0.03467292,1506880086,4274.94,22620582,0,2017-10-01 17:48:06
0.013931,1506880083,4274.83,22620581,0,2017-10-01 17:48:03
0.03,1506880079,4274.86,22620567,1,2017-10-01 17:47:59
0.87474904,1506880067,4264.29,22620566,1,2017-10-01 17:47:47
0.1285,1506880066,4274.86,22620565,1,2017-10-01 17:47:46
0.8715,1506880066,4274.86,22620564,1,2017-10-01 17:47:46
0.78630967,1506880064,4274.86,22620561,1,2017-10-01 17:47:44
0.21369033,1506880063,4274.86,22620560,1,2017-10-01 17:47:43
0.29519467,1506880060,4264.2,22620559,1,2017-10-01 17:47:40
0.1285,1506880059,4274.86,22620558,1,2017-10-01 17:47:39
0.8715,1506880059,4274.86,22620557,0,2017-10-01 17:47:39
0.05,1506880053,4272.9,22620556,0,2017-10-01 17:47:33
0.08939172,1506880050,4272.71,22620550,1,2017-10-01 17:47:30
0.49275266,1506880048,4272.67,22620547,0,2017-10-01 17:47:28
0.08783222,1506880017,4261.64,22620539,1,2017-10-01 17:46:57
0.4257269,1506880017,4261.66,22620537,1,2017-10-01 17:46:57
1.0,1506880016,4272.83,22620535,0,2017-10-01 17:46:56
0.07624267,1506880015,4273.0,22620534,1,2017-10-01 17:46:55
0.92375733,1506880014,4273.0,22620533,0,2017-10-01 17:46:54
0.20587152,1506880012,4261.57,22620531,1,2017-10-01 17:46:52
0.03002261,1506880012,4261.57,22620530,1,2017-10-01 17:46:52
0.16212555,1506880012,4269.58,22620529,1,2017-10-01 17:46:52
0.875,1506880012,4272.84,22620528,0,2017-10-01 17:46:52
0.14,1506880008,4272.84,22620527,1,2017-10-01 17:46:48
0.125,1506880007,4272.84,22620526,0,2017-10-01 17:46:47
0.8715,1506880004,4272.84,22620521,0,2017-10-01 17:46:44
0.09317899,1506880000,4269.98,22620519,1,2017-10-01 17:46:40
0.42316171,1506879992,4269.57,22620513,1,2017-10-01 17:46:32
0.08554608,1506879992,4269.57,22620512,1,2017-10-01 17:46:32
0.49129221,1506879991,4269.57,22620508,1,2017-10-01 17:46:31
1.0,1506879987,4269.57,22620505,0,2017-10-01 17:46:27
0.03050871,1506879984,4269.58,22620503,0,2017-10-01 17:46:24
0.32,1506879983,4268.26,22620501,0,2017-10-01 17:46:23
